iter	Passed	Remaining
1229	12647	38766
1230	12658	38757
1231	12668	38744
1232	12678	38735
1233	12688	38723
1234	12698	38711
1235	12707	38698
1236	12718	38690
1237	12728	38678
1238	12738	38666
1239	12749	38660
1240	12761	38655
1241	12772	38647
1242	12783	38639
1243	12794	38629
1244	12805	38623
1245	12817	38617
1246	12827	38606
1247	12838	38597
1248	12849	38589
1249	12860	38580
1250	12870	38570
1251	12879	38556
1252	12889	38545
1253	12899	38534
1254	12911	38528
1255	12921	38517
1256	12931	38506
1257	12941	38495
1258	12952	38486
1259	12964	38481
1260	12974	38471
1261	12988	38470
1262	13000	38465
1263	13013	38463
1264	13024	38455
1265	13035	38448
1266	13046	38439
1267	13056	38428
1268	13066	38417
1269	13077	38409
1270	13088	38400
1271	13098	38390
1272	13109	38381
1273	13119	38370
1274	13130	38362
1275	13141	38352
1276	13151	38341
1277	13161	38330
1278	13171	38321
1279	13182	38311
1280	13192	38301
1281	13204	38294
1282	13214	38284
1283	13224	38272
1284	13234	38262
1285	13245	38253
1286	13255	38243
1287	13266	38233
1288	13277	38225
1289	13287	38215
1290	13298	38205
1291	13308	38194
1292	13319	38186
1293	13330	38179
1294	13341	38170
1295	13351	38159
1296	13362	38151
1297	13374	38145
1298	13385	38135
1299	13395	38126
1300	13407	38118
1301	13416	38107
1302	13427	38098
1303	13438	38090
1304	13449	38080
1305	13459	38070
1306	13470	38060
1307	13480	38050
1308	13490	38039
1309	13502	38033
1310	13512	38023
1311	13523	38013
1312	13533	38003
1313	13543	37993
1314	13554	37982
1315	13564	37973
1316	13575	37963
1317	13585	37952
1318	13595	37940
1319	13605	37929
1320	13615	37918
1321	13625	37907
1322	13635	37895
1323	13644	37883
1324	13654	37870
1325	13663	37857
1326	13672	37844
1327	13682	37832
1328	13691	37820
1329	13702	37810
1330	13712	37800
1331	13724	37794
1332	13735	37785
1333	13745	37773
1334	13756	37767
1335	13768	37759
1336	13778	37748
1337	13789	37740
1338	13801	37735
1339	13813	37728
1340	13823	37718
1341	13835	37712
1342	13846	37704
1343	13857	37695
1344	13868	37686
1345	13879	37678
1346	13889	37667
1347	13899	37655
1348	13910	37646
1349	13921	37639
1350	13932	37631
1351	13944	37625
1352	13957	37623
1353	13968	37614
1354	13978	37602
1355	13988	37592
1356	13997	37578
1357	14007	37565
1358	14017	37554
1359	14026	37542
1360	14036	37529
1361	14045	37516
1362	14058	37512
1363	14068	37502
1364	14079	37492
1365	14088	37479
1366	14098	37469
1367	14108	37457
1368	14118	37446
1369	14127	37433
1370	14138	37423
1371	14147	37411
1372	14156	37397
1373	14165	37383
1374	14176	37373
1375	14185	37361
1376	14195	37349
1377	14205	37337
1378	14214	37324
1379	14224	37312
1380	14234	37302
1381	14246	37297
1382	14257	37287
1383	14266	37273
1384	14276	37263
1385	14285	37250
1386	14295	37239
1387	14306	37230
1388	14316	37217
1389	14325	37206
1390	14337	37198
1391	14347	37187
1392	14357	37176
1393	14367	37166
1394	14377	37154
1395	14388	37145
1396	14398	37136
1397	14408	37123
1398	14418	37113
1399	14429	37103
1400	14440	37094
1401	14449	37082
1402	14460	37073
1403	14470	37063
1404	14480	37051
1405	14490	37039
1406	14499	37027
1407	14509	37014
1408	14518	37002
1409	14529	36993
1410	14538	36980
1411	14548	36969
1412	14559	36959
1413	14568	36946
1414	14578	36935
1415	14589	36926
1416	14599	36915
1417	14609	36903
1418	14619	36893
1419	14630	36884
1420	14642	36879
1421	14654	36872
1422	14663	36860
1423	14673	36847
1424	14683	36837
1425	14692	36824
1426	14702	36813
1427	14712	36802
1428	14722	36790
1429	14732	36778
1430	14742	36768
1431	14753	36760
1432	14765	36755
1433	14776	36744
1434	14786	36734
1435	14796	36722
1436	14806	36712
1437	14816	36701
1438	14826	36690
1439	14836	36680
1440	14846	36667
1441	14856	36656
1442	14865	36644
1443	14876	36634
1444	14887	36625
1445	14898	36617
1446	14910	36611
1447	14920	36601
1448	14931	36591
1449	14941	36580
1450	14951	36570
1451	14962	36562
1452	14972	36550
1453	14982	36540
1454	14992	36527
1455	15003	36518
1456	15013	36508
1457	15023	36498
1458	15033	36486
1459	15044	36476
1460	15053	36464
1461	15063	36453
1462	15072	36440
1463	15083	36430
1464	15093	36420
1465	15104	36410
1466	15113	36398
1467	15123	36386
1468	15133	36375
1469	15143	36364
1470	15153	36353
1471	15162	36341
1472	15172	36330
1473	15182	36319
1474	15192	36307
1475	15203	36298
1476	15212	36286
1477	15222	36275
1478	15232	36264
1479	15242	36253
1480	15251	36239
1481	15261	36227
1482	15271	36217
1483	15284	36213
1484	15296	36207
1485	15306	36195
1486	15317	36186
1487	15327	36176
1488	15337	36165
1489	15348	36157
1490	15358	36144
1491	15368	36133
1492	15379	36124
1493	15390	36117
1494	15400	36106
1495	15411	36096
1496	15422	36087
1497	15432	36077
1498	15443	36069
1499	15453	36058
1500	15463	36047
1501	15473	36037
1502	15485	36030
1503	15496	36021
1504	15506	36010
1505	15517	36001
1506	15528	35993
1507	15539	35984
1508	15550	35974
1509	15561	35965
1510	15572	35957
1511	15582	35947
1512	15594	35939
1513	15604	35930
1514	15616	35923
1515	15626	35913
1516	15636	35901
